Indid	Sex	Ybirth	Fatid	Motid
10053	f	1855	.	.
43430	f	1978	10052	10053
10098	m	1814	.	.
10099	f	1819	.	.
43456	m	1843	10098	10099
43457	m	1845	10098	10099
43458	f	1846	10098	10099
43459	m	1848	10098	10099
43460	m	1856	10098	10099
43461	f	1860	10098	10099
43462	f	1864	10098	10099
43463	f	1866	10098	10099
10318	f	1898	.	.
10319	m	1925	.	.
10320	f	1923	101317	10318
43694	m	1950	10319	10320
43695	f	1953	10319	10320
43696	m	1957	10319	10320
43697	m	1961	10319	10320
11331	m	1944	.	.
11332	f	1939	.	.
44614	f	1962	11331	11332
44615	m	1964	11331	11332
9804	f	1902	11518	11519
11518	m	1874	.	.
11519	f	1875	.	.
11520	m	1895	11518	11519
44695	m	1897	11518	11519
11088	f	1913	11526	11527
11524	m	1912	11526	11527
11526	m	1877	.	.
11527	f	1887	.	.
43286	f	1909	11526	11527
43287	f	1911	11526	11527
43288	m	1915	11526	11527
43289	m	1918	11526	11527
11683	m	1807	.	.
11684	f	1818	.	.
46165	m	1847	11683	11684
46166	f	1850	11683	11684
46167	f	1856	11683	11684
46168	m	1861	11683	11684
46169	m	1865	11683	11684
45661	f	1990	12113	12114
45662	m	1992	12113	12114
11656	m	1893	12166	12167
12164	m	1840	.	.
12165	f	1843	.	.
12166	m	1869	12164	12165
12167	f	1873	.	.
12168	m	1875	12164	12165
12169	f	1876	.	.
12170	m	1900	12168	12169
12171	f	1904	.	.
12172	m	1927	12170	12171
12173	f	1929	.	.
12175	f	1956	12172	12173
12177	f	1909	12168	12169
45789	m	1867	12164	12165
45790	m	1902	12168	12169
45791	f	1929	12170	12171
45792	m	1952	12172	12173
45793	m	1954	12172	12173
45794	m	1879	12164	12165
45795	f	1885	12164	12165
12393	m	1885	.	.
12394	f	1897	.	.
46077	f	1917	12393	12394
46078	m	1921	12393	12394
46079	m	1925	12393	12394
12449	m	1960	.	.
46185	f	1986	12449	12450
46186	f	1988	12449	12450
12469	m	1978	.	.
12470	f	1886	.	.
12472	f	1911	12469	12470
12474	f	1915	12469	12470
46192	f	1905	12469	12470
46193	m	1907	12469	12470
46194	m	1911	12469	12470
46195	m	1913	12469	12470
46196	m	1918	12469	12470
4345	f	1947	.	.
1401	f	1843	.	.
3427	f	1961	.	.
413	m	1813	.	.
414	f	1810	.	.
30875	m	1842	413	414
30876	m	1843	413	414
30877	m	1845	413	414
10759	f	1778	.	.
11887	f	1784	.	.
10830	f	1721	.	.
1143	f	1892	.	.
9722	f	1968	.	.
1704	f	1842	.	.
4994	f	1962	.	.
1641	f	1841	.	.
1325	f	1884	.	.
1671	f	1863	.	.
11064	f	1889	.	.
1917	f	1847	.	.
10607	f	1954	.	.
11360	f	1915	.	.
10516	f	1924	.	.
9461	f	1933	.	.
5034	f	1962	.	.
4311	f	1946	.	.
11318	f	1954	.	.
11572	f	1913	.	.
286	m	1840	.	.
30695	f	1869	286	.
30696	m	1874	286	.
30697	m	1878	286	.
5652	f	1946	.	.
1319	f	1864	.	.
1953	f	1858	.	.
9330	f	1873	.	.
12256	f	1970	.	.
11011	f	1920	.	.
12151	f	1958	.	.
11878	f	1906	.	.
9087	f	1969	.	.
10961	f	1915	.	.
7636	f	1956	.	.
4950	f	1960	.	.
9651	f	1920	.	.
10815	f	1742	.	.
11260	f	1783	.	.
173	m	1800	.	.
174	f	1803	.	.
30467	m	1836	173	174
30468	m	1842	173	174
34	f	1815	.	.
12616	f	1820	.	.
169	m	1822	.	.
170	f	1823	.	.
1318	m	1861	169	170
30461	m	1847	169	170
30462	m	1849	169	170
30463	m	1852	169	170
30464	m	1855	169	170
30465	m	1856	169	170
498	m	1820	.	.
499	f	1830	.	.
31015	m	1857	498	499
444	f	1836	.	.
1329	f	1843	.	.
1822	f	1845	.	.
1420	f	1853	.	.
1664	f	1860	.	.
10840	f	1863	.	.
9398	f	1866	.	.
10854	f	1879	.	.
1771	f	1880	.	.
9972	f	1881	.	.
1448	f	1881	.	.
1450	f	1886	.	.
1770	f	1890	.	.
1469	f	1890	.	.
1453	f	1892	.	.
10646	f	1893	.	.
10571	f	1894	.	.
5539	f	1894	.	.
10559	f	1895	.	.
1407	f	1901	.	.
1455	f	1901	.	.
12389	f	1904	.	.
10120	f	1904	.	.
10577	f	1905	.	.
9845	f	1905	.	.
2409	f	1905	.	.
11202	f	1911	.	.
1459	f	1911	.	.
9778	f	1912	.	.
2413	f	1912	.	.
11573	f	1913	.	.
9820	f	1913	.	.
7194	m	1910	.	.
7195	f	1913	.	.
7196	m	1938	7194	7195
12379	f	1914	.	.
9302	f	1917	.	.
9608	f	1919	.	.
11987	f	1921	.	.
9782	f	1922	.	.
10468	f	1926	.	.
10529	f	1934	.	.
10251	f	1934	.	.
2954	f	1943	.	.
7365	f	1948	.	.
4271	f	1949	.	.
4361	f	1949	.	.
11140	f	1951	.	.
11236	f	1951	.	.
5094	f	1952	.	.
9565	f	1955	.	.
6025	f	1956	.	.
5933	f	1957	.	.
11352	f	1958	.	.
10405	f	1960	.	.
9535	f	1962	.	.
6553	f	1966	.	.
5964	f	1968	.	.
12333	f	1971	.	.
12530	f	1971	.	.
8977	f	1973	.	.
12233	f	1978	.	.
8987	f	1979	.	.
12418	f	1985	.	.
958	f	1846	.	.
984	f	1849	.	.
963	f	1851	.	.
972	f	1863	.	.
968	f	1870	.	.
749	f	1891	.	.
34163	f	1915	.	.
32	m	1824	.	.
33	f	1830	.	.
30280	m	1861	32	33
1483	m	1868	.	.
33885	m	1898	1483	1482
33260	m	1902	10632	10633
5139	m	1960	.	.
3726	m	1934	.	.
1691	m	1836	.	.
10030	m	1916	.	.
9189	m	1972	.	.
794	m	1871	.	.
10930	m	1920	.	.
9375	m	1913	.	.
10900	m	1910	.	.
11635	m	1759	.	.
1967	m	1837	.	.
4995	m	1960	.	.
9975	m	1843	.	.
9935	m	1968	.	.
11113	m	1913	.	.
1643	m	1842	.	.
11036	m	1899	.	.
12380	m	1921	.	.
1915	m	1839	.	.
11135	m	1909	.	.
12176	m	1907	.	.
9248	m	1962	.	.
30199	m	1912	9248	.
1351	m	1872	.	.
1260	m	1855	.	.
1726	m	1837	.	.
10896	m	1910	.	.
10918	m	1913	.	.
1290	m	1856	.	.
1415	m	1854	.	.
10979	m	1910	.	.
3380	m	1953	.	.
3308	m	1938	.	.
5045	m	1954	.	.
1294	m	1847	.	.
10542	m	1745	.	.
10819	m	1765	.	.
10817	m	1779	.	.
335	m	1800	.	.
12615	m	1817	.	.
1913	m	1831	.	.
161	m	1836	.	.
1909	m	1839	.	.
1911	m	1841	.	.
1311	m	1844	.	.
1436	m	1845	.	.
1532	m	1848	.	.
1418	m	1851	.	.
10048	m	1855	.	.
1880	m	1855	.	.
1949	m	1856	.	.
1951	m	1856	.	.
1882	m	1857	.	.
1799	m	1858	.	.
1800	m	1858	.	.
1959	m	1867	.	.
12326	m	1869	.	.
1442	m	1871	.	.
1768	m	1872	.	.
31279	m	1874	.	.
1488	m	1874	.	.
1862	m	1875	.	.
9953	m	1877	.	.
1788	m	1877	.	.
1945	m	1878	.	.
8944	m	1883	.	.
2805	m	1883	.	.
8898	m	1886	.	.
11003	m	1891	.	.
11111	m	1892	.	.
10574	m	1892	.	.
10910	m	1892	.	.
1	m	1787	12556	12557
2	f	1793	12558	12559
3	m	1794	12560	12561
4	f	1796	12562	12563
7	m	1805	12564	12565
8	f	1805	12566	12567
9	m	1837	.	.
10	f	1843	12568	12569
12	m	1824	.	.
13	f	1837	.	.
14	m	1806	12570	12571
15	m	1800	.	.
16	f	1814	.	.
17	m	1817	.	.
18	f	1819	.	.
19	m	1848	12572	12573
20	m	1842	12574	12575
21	m	1789	12584	12585
22	f	1798	10823	10824
24	m	1810	.	.
25	f	1814	.	.
26	m	1838	.	.
27	f	1832	.	.
28	m	1823	12588	12589
29	m	1827	.	.
30	f	1830	.	.
31	m	1816	12590	12591
35	f	1804	.	.
36	m	1818	12592	12593
37	f	1811	369	370
38	m	1820	.	.
39	f	1827	.	.
40	m	1824	12594	12595
41	f	1811	396	397
42	m	1835	9289	9290
43	m	1837	.	.
44	f	1840	500	501
45	m	1809	.	.
46	f	1810	.	.
47	m	1792	9678	9679
48	f	1799	10546	10547
51	m	1830	.	.
52	f	1831	12596	12597
53	m	1809	.	.
54	f	1810	.	.
55	m	1846	.	.
56	f	1847	.	.
57	m	1808	.	.
58	f	1809	.	.
59	m	1797	.	.
60	f	1785	.	.
61	m	1797	.	.
62	f	1800	.	.
63	m	1795	.	.
64	f	1802	.	.
66	f	1803	.	.
67	m	1790	12607	12608
68	f	1792	2004	2005
69	m	1813	.	.
70	f	1814	.	.
71	m	1820	.	.
72	f	1817	.	.
73	m	1781	12611	12612
74	f	1792	9621	9622
75	m	1835	10013	10014
76	f	1842	.	.
77	m	1812	5637	5638
78	f	1818	12617	12618
79	m	1765	11257	11258
80	f	1776	9289	9290
81	m	1821	79	80
82	f	1823	.	.
83	m	1817	12619	12620
84	f	1822	11811	11812
85	m	1775	12621	12622
86	f	1773	.	.
87	f	1808	.	.
88	f	1830	.	.
89	m	1800	.	.
90	f	1803	.	.
91	f	1845	.	.
92	f	1825	.	.
93	m	1795	2085	2086
94	f	1801	2002	2003
95	m	1785	2085	2086
96	f	1784	10835	10836
97	m	1824	.	.
98	f	1823	8311	8312
99	m	1815	.	.
100	f	1815	.	.
101	m	1838	.	.
102	f	1827	.	.
103	m	1789	.	.
104	f	1792	.	.
105	m	1798	.	.
106	f	1797	.	.
107	m	1781	1994	1995
108	f	1809	10778	10779
109	m	1777	1994	1995
110	f	1788	10546	10547
111	m	1811	113	114
112	f	1813	10843	10844
113	m	1776	.	.
114	f	1780	10835	10836
115	m	1802	.	.
116	f	1816	.	.
119	m	1836	.	.
120	m	1774	.	.
121	f	1793	12558	12559
122	f	1815	.	.
125	m	1812	.	.
126	f	1822	.	.
127	m	1845	.	.
128	f	1854	.	.
129	m	1816	10166	10167
130	f	1819	.	.
131	m	1850	8313	8314
132	m	1818	10166	10167
133	f	1828	.	.
134	m	1858	.	.
135	m	1840	.	.
136	m	1798	10795	10796
137	f	1792	.	.
138	m	1824	.	.
139	f	1823	.	.
140	m	1800	10758	101759
141	m	1809	.	.
142	f	1812	.	.
143	m	1787	.	.
144	f	1794	.	.
145	m	1796	12148	12149
146	m	1828	.	.
147	f	1831	63	66
148	m	1809	.	.
151	m	1815	.	.
152	m	1821	.	.
153	f	1821	.	.
154	m	1846	1098	1099
155	m	1794	.	.
156	f	1796	.	.
157	m	1776	.	.
158	f	1773	.	.
159	m	1808	.	.
160	f	1812	.	.
162	f	1827	.	.
163	m	1850	9260	9261
164	f	1850	.	.
165	m	1842	.	.
166	f	1843	.	.
167	m	1858	10602	10603
168	f	1866	.	.
171	m	1812	.	.
172	f	1823	.	.
175	m	1810	.	.
176	f	1810	.	.
177	m	1781	.	.
178	f	1793	.	.
179	m	1808	.	.
180	f	1811	.	.
181	m	1838	.	.
182	f	1843	.	.
183	m	1875	.	.
184	f	1882	.	.
185	m	1837	10092	10093
186	m	1830	.	.
187	f	1830	.	.
188	m	1845	.	.
189	f	1848	.	.
190	m	1845	.	.
191	m	1829	.	.
192	f	1832	.	.
193	m	1841	.	.
194	m	1785	.	.
195	f	1791	.	.
196	m	1800	.	.
197	f	1810	2002	2003
198	m	1804	.	.
199	m	1747	8430	8431
200	f	1775	.	.
201	f	1808	.	.
202	m	1809	.	.
203	f	1805	.	.
204	m	1857	.	.
205	m	1790	.	.
206	f	1793	.	.
207	m	1811	.	.
208	m	1817	.	.
209	f	1823	.	.
210	m	1820	.	.
211	f	1838	.	.
212	m	1835	.	.
213	f	1840	36	35
216	m	1833	.	.
217	m	1804	.	.
218	f	1806	.	.
219	m	1841	.	.
220	f	1849	.	.
221	m	1835	.	.
222	f	1838	.	.
223	m	1805	.	.
224	f	1814	.	.
225	m	1845	.	.
226	m	1868	.	.
227	m	1801	2191	2192
228	f	1808	.	.
229	m	1825	.	.
230	f	1828	.	.
231	m	1853	.	.
232	m	1829	.	.
233	f	1839	.	.
234	m	1844	1200	1201
237	m	1810	.	.
238	f	1810	.	.
239	m	1845	.	.
240	m	1854	.	.
241	m	1829	.	.
242	f	1840	.	.
243	m	1807	.	.
244	f	1811	.	.
245	m	1796	.	.
246	f	1799	.	.
247	f	1812	.	.
248	m	1824	.	.
249	f	1827	.	.
250	m	1821	.	.
251	f	1827	.	.
252	f	1822	.	.
253	m	1793	.	.
254	f	1799	.	.
255	m	1821	.	.
256	m	1816	.	.
257	f	1817	2097	2098
258	f	1849	394	395
259	m	1814	10770	10771
260	m	1790	.	.
261	f	1798	.	.
262	m	1794	.	.
263	f	1796	.	.
264	m	1805	.	.
265	f	1802	.	.
266	m	1833	.	.
267	m	1824	10604	10605
268	f	1831	.	.
269	m	1802	10835	10836
270	f	1820	.	.
271	m	1817	10770	10771
272	m	1796	10845	10846
273	f	1798	11888	11889
274	f	1825	2149	2148
275	f	1843	10864	630
276	m	1810	.	.
277	m	1811	.	.
278	m	1826	.	.
279	f	1830	.	.
280	m	1840	.	.
281	f	1838	2006	2007
284	m	1813	.	.
285	m	1845	.	.
287	m	1790	.	.
288	f	1792	.	.
289	m	1834	.	.
290	f	1837	10013	10014
291	m	1806	.	.
292	f	1804	9823	9824
293	m	1827	.	.
294	f	1825	.	.
295	m	1801	.	.
296	f	1807	.	.
297	m	1813	.	.
298	m	1800	.	.
299	f	1809	.	.
300	m	1830	.	.
301	m	1819	.	.
302	f	1822	.	.
303	m	1821	.	.
304	m	1833	11801	11802
305	m	1823	9345	9346
306	m	1833	9345	9346
307	m	1784	.	.
308	m	1820	.	.
309	m	1797	2004	2005
310	f	1812	.	.
311	m	1800	2004	2005
312	f	1814	.	.
313	m	1828	.	.
314	f	1832	11801	11802
315	m	1755	.	.
316	f	1771	.	.
317	f	1805	.	.
318	f	1800	.	.
319	m	1788	.	.
320	f	1791	.	.
321	f	1823	.	.
322	m	1802	10814	10816
323	f	1808	109	110
324	m	1805	9351	9353
325	f	1805	9826	9827
326	m	1818	10822	22
327	f	1816	.	.
328	m	1796	9351	9352
329	f	1791	10776	10777
330	m	1758	.	.
331	f	1760	9399	9400
332	f	1800	5452	5453
333	f	1797	.	.
334	m	1806	.	.
336	f	1812	.	.
337	m	1851	.	.
338	m	1840	.	.
339	m	1833	.	.
340	f	1835	.	.
341	m	1836	.	.
342	f	1837	.	.
343	m	1832	.	.
346	m	1791	.	.
347	f	1788	11752	11753
348	f	1798	.	.
349	m	1840	.	.
350	m	1791	9371	9372
351	f	1795	9621	9622
352	m	1788	10290	9358
353	f	1791	2085	2086
354	m	1820	350	351
355	m	1770	.	.
356	f	1775	2704	2705
357	m	1779	1994	1995
358	f	1778	9357	9358
359	m	1795	.	.
360	f	1798	.	.
361	m	1798	9359	9360
362	f	1799	9367	9368
363	m	1825	7708	7709
364	f	1823	10738	10739
365	m	1811	.	.
366	f	1816	.	.
367	m	1789	10764	10765
368	f	1807	10835	10836
369	m	1781	.	.
370	f	1784	.	.
371	m	1788	11620	11621
372	f	1788	10768	10769
373	m	1802	.	.
374	f	1816	.	.
375	f	1810	.	.
376	m	1834	.	.
377	f	1841	.	.
378	m	1799	.	.
379	f	1813	.	.
380	m	1828	.	.
381	m	1850	2006	2007
382	f	1854	.	.
383	m	1833	.	.
384	f	1839	.	.
385	m	1814	.	.
386	f	1819	.	.
387	m	1819	.	.
388	m	1811	.	.
389	m	1813	.	.
390	f	1813	.	.
391	m	1826	.	.
392	m	1845	1978	1979
393	f	1854	.	.
394	m	1816	.	.
395	f	1818	10875	10874
396	m	1787	.	.
397	f	1784	9371	9372
398	m	1809	9826	9827
399	f	1811	.	.
400	m	1832	.	.
401	f	1832	.	.
402	m	1821	.	.
403	f	1831	.	.
404	m	1775	.	.
405	f	1778	.	.
406	m	1813	.	.
407	f	1806	.	.
408	f	1812	.	.
415	m	1835	.	.
416	f	1837	.	.
417	m	1767	.	.
418	f	1766	.	.
419	f	1808	.	.
420	f	1811	.	.
421	f	1808	.	.
422	m	1797	.	.
423	f	1804	.	.
424	m	1833	.	.
425	m	1801	.	.
426	m	1829	.	.
427	m	1814	.	.
428	m	1832	.	.
429	m	1828	.	.
430	f	1834	.	.
431	f	1845	.	.
438	m	1829	.	.
439	f	1829	.	.
440	m	1806	9365	9366
441	f	1811	10843	10844
442	m	1782	.	.
443	f	1787	2146	2147
445	f	1845	.	.
446	m	1804	.	.
447	f	1807	.	.
448	m	1810	.	.
449	f	1815	.	.
450	m	1841	.	.
451	m	1823	.	.
452	m	1791	.	.
453	f	1789	.	.
456	m	1827	.	.
457	f	1830	10604	10605
458	m	1810	.	.
459	m	1836	462	463
460	m	1822	.	.
461	f	1826	.	.
462	m	1800	.	.
463	f	1810	2097	2098
464	m	1827	.	.
465	m	1829	.	.
466	f	1846	.	.
467	m	1853	.	.
468	f	1866	.	.
469	m	1826	.	.
470	m	1826	.	.
471	f	1829	.	.
472	m	1807	.	.
473	f	1830	.	.
474	m	1840	.	.
475	m	1824	.	.
476	f	1826	12487	12488
477	m	1826	.	.
478	f	1827	.	.
479	m	1821	.	.
482	m	1835	.	.
483	m	1770	.	.
484	f	1775	.	.
485	f	1807	.	.
486	f	1810	.	.
487	f	1814	.	.
488	m	1832	.	.
489	m	1790	2707	2706
490	f	1799	.	.
491	m	1824	.	.
492	m	1824	.	.
493	f	1820	.	.
494	m	1822	.	.
495	f	1822	9345	9346
496	m	1833	.	.
497	f	1846	277	587
500	m	1814	.	.
501	f	1817	.	.
502	m	1815	.	.
503	m	1876	2308	2307
504	f	1887	.	.
505	f	1821	.	.
506	f	1822	.	.
507	f	1832	262	263
508	f	1843	2111	2112
509	f	1824	.	.
510	m	1848	.	.
511	f	1851	2081	2082
512	m	1824	1	2
513	f	1834	489	490
514	f	1841	115	116
515	f	1855	.	.
516	m	1828	1	2
517	f	1829	205	206
518	f	1820	3	4
519	f	1822	3	4
520	f	1827	3	4
521	m	1834	198	522
522	f	1808	113	114
523	m	1816	113	114
524	f	1817	.	.
525	m	1836	7	8
526	f	1838	295	296
527	f	1836	7	8
529	f	1838	7	8
532	m	1825	352	353
533	m	1815	352	353
534	f	1813	404	405
535	m	1817	352	353
536	f	1822	396	397
537	m	1802	315	316
538	m	1795	315	316
539	m	1816	109	110
540	f	1830	537	317
541	m	1863	12	13
542	f	1864	539	540
543	f	1864	12	13
544	m	1856	40	41
545	f	1867	12	13
546	m	1858	289	290
547	m	1869	12	13
548	f	1872	.	.
549	m	1848	99	100
550	f	1851	406	408
551	m	1871	12	13
552	f	1873	549	550
553	f	1875	12	13
554	m	1870	532	507
555	f	1877	12	13
556	m	1856	475	519
557	f	1813	319	320
558	m	1841	14	557
559	f	1844	71	72
560	m	1844	14	557
561	f	1848	77	78
562	m	1813	452	453
563	f	1819	73	74
564	m	1848	14	72
565	f	1850	562	563
566	f	1851	14	72
567	m	1846	223	224
568	m	1854	14	72
569	f	1859	472	473
570	m	1836	15	16
571	f	1839	155	156
572	f	1850	15	16
573	m	1845	57	58
574	f	1842	17	18
575	m	1828	328	329
576	m	1812	367	368
577	f	1812	369	370
578	m	1843	17	18
579	f	1842	576	577
580	f	1851	229	230
581	f	1820	85	86
582	m	1834	136	137
583	m	1827	136	137
584	m	1827	21	22
585	f	1832	21	22
586	m	1806	369	370
587	f	1816	369	370
588	m	1832	63	68
589	f	1825	63	68
590	f	1836	69	70
591	f	1842	69	70
592	m	1847	69	70
593	f	1851	576	577
594	m	1813	79	80
595	f	1815	452	453
596	f	1827	155	156
597	m	1818	79	80
598	m	1803	85	86
599	f	1812	85	86
600	m	1825	89	90
601	f	1837	89	90
602	m	1843	89	90
603	m	1814	103	104
604	m	1821	103	104
605	f	1822	324	325
606	m	1812	120	121
607	m	1818	120	121
608	f	1821	639	333
609	m	1823	143	144
610	m	1829	143	144
611	m	1814	157	158
612	f	1824	157	158
613	m	1826	177	178
614	f	1834	177	178
615	m	1838	196	197
616	f	1844	196	197
617	f	1800	199	200
618	m	1806	199	200
619	m	1815	245	246
620	m	1818	245	246
621	f	1819	95	96
622	f	1806	109	110
623	f	1823	140	622
624	m	1823	245	246
625	f	1827	489	490
626	m	1842	256	257
627	m	1850	256	257
628	f	1855	406	408
629	m	1823	260	261
630	f	1814	396	397
631	m	1825	260	261
632	m	1829	260	261
633	f	1840	446	447
634	m	1826	272	273
635	f	1837	61	62
636	m	1834	287	288
637	m	1830	272	273
638	m	1834	272	273
639	m	1788	330	331
640	m	1794	330	331
641	m	1805	355	356
642	m	1807	355	356
643	f	1816	73	74
644	m	1810	355	356
645	f	1817	357	358
646	m	1830	359	360
647	f	1835	346	348
648	f	1819	371	372
649	m	1825	371	372
650	f	1829	105	106
651	m	1831	371	372
652	f	1835	641	48
653	m	1810	367	368
654	f	1813	357	358
655	m	1820	396	397
656	f	1820	359	360
657	m	1803	417	418
658	m	1808	417	418
659	m	1820	442	443
660	m	1830	442	443
661	f	1834	63	64
662	m	1800	483	484
663	m	1808	483	484
664	m	1810	483	484
665	f	1850	607	608
666	f	1831	194	195
668	f	1848	378	379
669	f	1844	77	78
670	f	1832	361	362
671	f	1841	309	310
672	f	1855	245	246
673	f	1836	9369	9370
674	f	1822	425	617
675	f	1819	253	254
676	f	1824	538	318
677	f	1840	217	218
678	f	1844	125	126
679	f	1841	145	675
680	f	1864	613	679
681	f	1843	538	318
682	f	1850	309	310
683	f	1849	653	654
684	f	1846	217	218
685	f	1865	383	384
686	f	1821	155	156
687	f	1848	611	9262
688	f	1866	624	625
689	f	1858	562	563
690	f	1861	186	187
691	f	1850	245	247
692	f	1855	620	621
693	f	1862	339	340
694	f	1814	357	358
695	f	1842	657	419
696	f	1833	598	87
697	m	1811	109	110
698	f	1824	361	362
699	f	1847	697	698
700	f	1809	404	405
701	m	1824	287	288
702	f	1824	59	60
703	f	1852	701	702
704	f	1821	253	254
705	f	1847	298	299
706	m	1826	489	490
707	f	1850	706	37
708	f	1810	95	96
709	f	1833	155	156
710	f	1841	489	490
711	f	1832	140	622
712	f	1839	245	247
713	f	1830	489	490
714	f	1837	57	58
715	f	1862	141	142
716	f	1846	202	203
717	f	1838	334	599
718	f	1834	205	206
719	f	1826	425	617
720	f	1827	140	622
721	f	1835	237	238
722	f	1841	227	228
723	f	1843	644	645
724	f	1820	205	206
725	f	1835	361	362
726	f	1842	311	312
727	f	1839	594	595
728	f	1834	446	447
729	f	1841	644	645
730	f	1843	446	447
731	m	1812	95	96
732	f	1814	11624	10873
733	f	1843	731	732
734	f	1858	642	643
735	f	1821	350	351
736	f	1848	533	534
737	f	1859	655	656
738	m	1879	19	580
739	m	1845	502	581
740	f	1848	138	139
741	f	1885	739	740
742	m	1881	19	580
743	f	1883	.	.
744	m	1851	388	720
745	f	1856	629	630
746	m	1885	19	580
747	f	1887	744	745
748	m	1888	19	580
750	m	1862	101	102
751	f	1865	232	233
752	m	1890	19	580
753	f	1891	750	751
754	m	1856	609	674
755	f	1859	456	457
756	m	1878	20	665
757	f	1883	754	755
758	m	1820	109	110
759	f	1823	346	347
760	f	1857	584	666
761	m	1850	758	759
762	m	1863	584	666
763	f	1876	3091	3092
764	f	1865	584	666
765	m	1861	464	725
766	m	1836	385	386
767	f	1848	152	153
768	m	1867	584	666
769	f	1877	766	767
770	m	1869	584	666
771	f	1865	464	725
772	m	1837	276	700
773	f	1855	141	142
774	m	1872	584	666
775	f	1884	772	773
776	m	1843	24	25
777	f	1846	.	.
778	f	1848	.	.
779	m	1846	24	25
780	f	1846	276	700
781	m	1851	24	25
782	f	1851	448	449
783	m	1866	26	27
784	f	1871	.	.
785	f	1867	26	27
787	m	1870	26	27
788	f	1873	660	661
789	f	1871	26	27
791	m	1874	26	27
792	f	1875	602	91
793	f	1874	26	27
795	m	1845	611	9262
796	f	1853	354	112
797	m	1878	26	27
798	f	1879	795	796
799	m	1875	28	668
800	f	1886	127	128
801	m	1824	93	94
802	f	1834	642	643
803	m	1859	313	314
804	f	1862	801	802
805	m	1878	28	668
806	f	1883	803	804
807	m	1833	324	325
808	f	1841	297	708
809	f	1880	28	668
810	m	1876	807	808
811	f	1889	28	668
812	m	1877	392	393
813	m	1854	29	30
814	f	1857	101	102
815	m	1860	29	30
816	f	1865	101	102
817	m	1862	29	30
818	f	1867	.	.
819	f	1863	29	30
820	m	1868	.	.
821	f	1865	29	30
823	m	1829	422	423
824	f	1839	223	224
825	m	1866	29	30
826	f	1875	823	824
827	m	1825	328	329
828	f	1833	346	348
829	m	1869	29	30
830	f	1871	827	828
831	f	1870	29	30
832	m	1870	212	213
833	f	1872	29	30
834	m	1869	101	102
835	m	1876	29	30
836	f	1877	823	824
837	f	1851	31	518
838	m	1851	208	509
839	m	1843	611	9262
840	m	1825	253	254
841	f	1829	489	490
842	f	1854	31	518
843	m	1853	840	841
